data_coleta,rodovia,impacto,aviso
2025-06-26,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 23 ao 26, do Viveiro Kelsh ao Viveiro do Luiz em Capela de Santana, pare e siga para manutenção de talude;"
2025-06-26,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 04, do viaduto da Scharlau a Churrascaria Modelo em São Leopoldo, manutenção da faixa de domínio;"
2025-06-26,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 31 ao 33, do Posto Paradouro ao trevo de Montenegro, serviços gerais da conserva;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 06 ao 10, do Ferro velho CDV ao GM Car em São Sebastião do Caí, estreitamento de pista para pintura;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 16 ao 20, do posto Gambino em São Sebastião do Caí ao Finkler em Bom Princípio, estreitamento de pista para fresagem e recomposição;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 30 ao 32, da Tenda Bom Princípio ao Casarão 122, estreitamento de pista para instalação de gabarito e concretagem e pintura de sinalização;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 40 ao 51, do pequeno refúgio em São Vendelino ao Trevo de Alto Feliz em Farroupilha, pare e siga e estreitamento de pista para pintura, reparo localizado, conformação de terreno e concretagem;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 55 ao 60, do Posto Vila Nova ao Restaurante Beija Flore em Farroupilha, estreitamento de pista para pintura;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 83, próximo a Linha 40 em Caxias do Sul, pare e siga para reparo em guarda-corpo;"
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 127, próximo a Mecânica Ouro Diesel em Antônio Prado, estreitamento de pista para conformação de terreno e concretagem;"
